-0.2,45.34,3.31
-0.2,45.54,3.259
-0.2,45.74,3.214
-0.2,45.94,3.19
-0.2,46.14,3.34
-0.2,46.34,3.278
-0.2,46.54,3.251
-0.2,46.74,3.153
-0.2,46.94,3.264
-0.2,47.14,3.287
-0.2,47.34,3.27
-0.2,47.54,3.235
-0.15,45.34,3.253
-0.15,45.54,3.013
-0.15,45.74,3.289
-0.15,45.94,3.354
-0.15,46.14,3.278
-0.15,46.34,3.252
-0.15,46.54,3.385
-0.15,46.74,3.293
-0.15,46.94,3.21
-0.15,47.14,3.163
-0.15,47.34,3.324
-0.15,47.54,3.244
-0.1,45.34,3.185
-0.1,45.54,3.328
-0.1,45.74,3.266
-0.1,45.94,3.354
-0.1,46.14,3.304
-0.1,46.34,3.37
-0.1,46.54,3.173
-0.1,46.74,3.236
-0.1,46.94,3.285
-0.1,47.14,3.311
-0.1,47.34,3.316
-0.1,47.54,3.288
-0.05,45.34,3.322
-0.05,45.54,3.282
-0.05,45.74,3.308
-0.05,45.94,3.263
-0.05,46.14,3.266
-0.05,46.34,3.31
-0.05,46.54,3.343
-0.05,46.74,3.224
-0.05,46.94,3.205
-0.05,47.14,3.366
-0.05,47.34,3.37
-0.05,47.54,3.322
-5.55111512312578E-17,45.34,3.231
-5.55111512312578E-17,45.54,3.229
-5.55111512312578E-17,45.74,3.146
-5.55111512312578E-17,45.94,3.264
-5.55111512312578E-17,46.14,3.285
-5.55111512312578E-17,46.34,3.331
-5.55111512312578E-17,46.54,3.272
-5.55111512312578E-17,46.74,3.255
-5.55111512312578E-17,46.94,3.277
-5.55111512312578E-17,47.14,3.216
-5.55111512312578E-17,47.34,3.342
-5.55111512312578E-17,47.54,3.288
0.0499999999999999,45.34,3.374
0.0499999999999999,45.54,3.238
0.0499999999999999,45.74,3.282
0.0499999999999999,45.94,3.289
0.0499999999999999,46.14,3.304
0.0499999999999999,46.34,3.328
0.0499999999999999,46.54,3.316
0.0499999999999999,46.74,3.228
0.0499999999999999,46.94,3.333
0.0499999999999999,47.14,3.261
0.0499999999999999,47.34,3.26
0.0499999999999999,47.54,3.273
0.0999999999999999,45.34,3.301
0.0999999999999999,45.54,3.269
0.0999999999999999,45.74,3.293
0.0999999999999999,45.94,3.222
0.0999999999999999,46.14,3.319
0.0999999999999999,46.34,3.246
0.0999999999999999,46.54,3.254
0.0999999999999999,46.74,3.152
0.0999999999999999,46.94,3.244
0.0999999999999999,47.14,3.296
0.0999999999999999,47.34,3.356
0.0999999999999999,47.54,3.292
